VehicleMake,VehicleModel,YearOfBirth,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
MERCEDES BENZ,S SERIES,1987,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,1993,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,1995,4,2,50,2,50,0,0,1,25,1,25,1,25,0,0,0,0,0,0,1,25,0,0,0,0,1,25,1,25,0,0,0,0
MERCEDES BENZ,S SERIES,1996,4,2,50,2,50,1,25,1,25,0,0,0,0,1,25,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,1997,2,1,50,1,50,0,0,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,1998,6,2,33.3,4,66.7,0,0,4,66.7,1,16.7,3,50,0,0,0,0,1,16.7,0,0,0,0,0,0,3,50,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,1999,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2000,5,2,40,3,60,1,20,0,0,2,40,1,20,1,20,0,0,1,20,3,60,1,20,1,20,1,20,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2001,12,1,8.3,11,91.7,2,16.7,2,16.7,6,50,2,16.7,3,25,0,0,1,8.3,6,50,3,25,1,8.3,2,16.7,1,8.3,0,0,0,0
MERCEDES BENZ,S SERIES,2002,14,6,42.9,8,57.1,1,7.1,4,28.6,5,35.7,2,14.3,1,7.1,1,7.1,1,7.1,6,42.9,1,7.1,0,0,3,21.4,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2003,20,8,40,12,60,3,15,5,25,4,20,3,15,1,5,0,0,0,0,5,25,3,15,1,5,3,15,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2004,21,7,33.3,14,66.7,3,14.3,6,28.6,9,42.9,1,4.8,2,9.5,1,4.8,0,0,9,42.9,5,23.8,0,0,2,9.5,1,4.8,1,4.8,0,0
MERCEDES BENZ,S SERIES,2005,18,5,27.8,13,72.2,1,5.6,4,22.2,9,50,3,16.7,4,22.2,0,0,0,0,8,44.4,4,22.2,1,5.6,4,22.2,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2006,27,14,51.9,13,48.1,1,3.7,6,22.2,4,14.8,1,3.7,4,14.8,0,0,0,0,5,18.5,4,14.8,0,0,1,3.7,1,3.7,1,3.7,0,0
MERCEDES BENZ,S SERIES,2007,38,17,44.7,21,55.3,2,5.3,6,15.8,10,26.3,0,0,6,15.8,1,2.6,0,0,10,26.3,2,5.3,1,2.6,3,7.9,1,2.6,0,0,0,0
MERCEDES BENZ,S SERIES,2008,64,30,46.9,34,53.1,2,3.1,10,15.6,7,10.9,6,9.4,14,21.9,0,0,0,0,10,15.6,4,6.3,3,4.7,9,14.1,2,3.1,1,1.6,0,0
MERCEDES BENZ,S SERIES,2009,12,8,66.7,4,33.3,1,8.3,1,8.3,0,0,1,8.3,2,16.7,0,0,0,0,0,0,1,8.3,0,0,0,0,1,8.3,1,8.3,0,0
MERCEDES BENZ,S SERIES,2010,31,18,58.1,13,41.9,2,6.5,2,6.5,6,19.4,1,3.2,2,6.5,0,0,0,0,8,25.8,1,3.2,0,0,4,12.9,1,3.2,0,0,0,0
